,id,date,rating,views,like,title,text
48,5,k81***예매자,2023.03.27,조회 386,"공감 5
공감하기",베스트바닷마을에서 자란 내 꿈도 해적이었어,"어릴때 나는 해적을 동경했다. 해적이 되고싶기도 했다. 물론 진짜 해적 말고 소설에나 나오던 멋지고 낭만 가득한 해적ㅋㅋ 바다가 있는 도시에서 살아서였을까, 아니면 지금과 달리 용맹하고 모험심 강하던 어린 내게 해적이 딱 맞아떨어지는 영웅같은 존재였던걸까. 아무튼 난 해적이 좋았다. 그래서 해적이 주인공인 소설을 썼고 개성 넘치는 해적을 그려 살아나게 했다. 그때 내 침대는 해적선이 됐고 노트에 반듯하게 그어진 줄은 파도가 되었으며 내가 쓴 소설의 활자는 멋진 선원이 되어 항해했다. 내가 휘둘렀던건 커다란 해적칼이 아닌 조그만 연필따위였지만 상관없었다. 나는 이미 머리를 땋아 늘어트린 멋진 해적이었으니!

뮤지컬 해적은 그때 내 꿈과 환상을 그대로 옮겨놓았다. 내가 사랑하던 해적 캐릭터들이 모두 등장했다.
전설로 통하는 무시무시한 캡틴 잭과 해적의 자식이자 열정 가득한 신입 선원 루이스, 하늘의 별도 쏘아 그 조각으로 반짝이는 검은 바다를 만들어내는 앤과 포세이돈이라 불리우며 칼 두자루로 소용돌이를 그리는 메리.
마지막 항해를 마친 루이스의 아버지 케일럽은 숨을 거두고 그의 친구 잭이 루이스를 찾아온다. 루이스는 아버지가 남긴 보물섬 지도를 빌미삼아 잭의 해적선에 올라타고 두 사람은 로즈 아일랜드로 떠난다. 그 과정에서 명사수이지만 사생아란 존재로 없는 사람이 되어야 했던 앤과 죽은 오빠 대신 옷을 입고 칼을 든 메리를 만난다.
사실 이야기와 사건은 간단했다. 그럼에도 이 해적들의 이야기는 눈물샘을 자극했다.
잭은 무자비한 캡틴이지만 사실 단 한번도 직접 누군가를 죽여본적 없으며 전투 중 도망쳐 무인도에 버려지기도 했다. 하지만 잭은 선원들을 이끌었고 루이스를 지켰다. 해적은 사랑하면 안 된다면서 그 누구보다 동료들을, 바다를 사랑한 잭은 어릴적 내가 그린 이상적인 바로 그 해적이었다. 어릴때 내가 쓴 소설 속 해적도 사람을 죽이지 않았다. 멋진 쌍칼을 들고 있지만 단 한번도 죽음의 장면은 나오지 않았다. 내게 해적은 누군가를 죽이는 존재도 죽는 존재도 아니었다. 그러니 잭도 죽지 않았으리라 믿고싶다. 다시 한번 대왕거북이의 등을 타고 저 검푸른 바다를 향해 나아갔길. 그만의 무인도에 멋진 해적 세상을 꾸며 루이스를 기다리고 있기를.
루이스는 마치 나같았다. 해적의 황금시대 이야기를 쓰고 항해일지를 썼다. 그리고 해적이 되었다. 아버지를 잃었지만 대신 바다를 얻었고 잭을 만났다. 내가 상상으로 하던 일을 실제로 겪은 루이스의 모험이라니! 관극을 하는 내내 나는 2n살의 성인이 아닌 11살의 어린아이가 된 것 같았다.
자 루이스와 멋진 항해를 떠나자!
모든 이들이 비밀을 털어놓지만 그것을 잘 지켜주는 루이스도 훌륭한 해적이지, 그럼!
사실 나는 고전적인걸 좋아해서(?) 해적도 총보단 칼파였다. 크고 빛나는 칼이야말로 해적의 상징이지 라고 생각했다. 하지만 앤의 아름다운 총성에 마음이 조금 흔들린 것 같다. 스텔라마리스때 앤이 쏜 별이 조각조각 흩어져 검은 바다와 객석까지 뒤덮었을때 주책맞게 왈칵 눈물이 났다. 저 별 조각 하나하나가 누구나 마음에 품고있는 솔직한 꿈, 작은 소망처럼 느껴졌다.
메리의 쌍검은 고전적인 내 심장을 아주 벌렁이게 만들었다. 잭이 내적으로 이상적인 나의 해적이었다면, 메리는 내가 상상했던 해적의 완벽한 외적 이상형이었다. 게다가 짧은 넘버로도 느껴지는 서러운 서사까지..모든 것을 포기하고 죽길 바라던 순간 죽기 직전의 순간 자신과 비슷한 앤을 만나고 사랑에 빠지는 눈빛은 잊혀지지가 않는다.
육지의 세상에서는 지워졌지만, 바다의 한가운데선 그 누구도 모를 수 없는 총잡이와 검투사가 된 앤과 메리. 살기 위해 내던져진 바다에서 오히려 이름과 자유를 찾은 두 여자의 모순이 아름다웠다. 그런 서로를 알아보고 한눈에 사랑에 빠지지만 이별 앞에서 손을 놓지 않고 언제나 꿈속에서 기다릴거라는 절절히 고백까지. 내 마음속 해적의 사랑, 낭만은 이런 것이었다.
어린 잭에게 흔쾌히 은화를 준 하워드와 그런 하워드의 로즈 사파이어빛 죽음을 지켜볼 수 밖에 없었던 잭의 서사도 좋았다. 누군가의 꿈이 되어준 해적이 언젠가 절망이 될 수도 있음을.

해적, 이 낭만적인 이야기의 마지막쯤 대사가 마음 깊이 남는다.
""그리고 그곳에 해적들이 있었다.""
그곳은 어디일까.
망망한 바다, 혹은 어린시절 내 작은 방?
아니 어쩌면 아직도 펄럭이는 졸리로저를 보며 두근대는 내 마음속이 가장 맞는 답일지도 모르겠다."
49,5,temsnsky1***예매자,2023.06.05,조회 0,"공감 0
공감하기",정연수연페어 최고,진짜 레전드였습니다! 공연기간동안 합을 많이 맞춘만큼 너무 좋고 대사 변주주는 부분들이나 애드립들까지 너무 흐름에 잘 맞아서 정말 최고에요. 이제 두 번밖에 남지 안았다니 너무 아쉬워요
50,5,yang3***예매자,2023.06.05,조회 0,"공감 0
공감하기",해적들이있었다,"그리고 그곳에 해적들이있었다
해적이야기를쓰는거야
저는후기를쓰고"
51,3,dusdn3***예매자,2023.06.05,조회 0,"공감 0
공감하기",정동화 주민진 배우 나름 열심히는 하는데,"저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요
저는 아무 감흥이 없네요. 코미디극 보는 줄 알았습니다
연기에 오바가 둘다 심하네요 저는 별로였어서 그만 보려구요"
52,5,temsnsky1***예매자,2023.06.05,조회 0,"공감 0
공감하기",해적,정연수연페어 너무 재밌고 막판 감정도 너무 좋고 항상 만족스러운 공연입니다
53,5,sakura***예매자,2023.06.05,조회 0,"공감 0
공감하기",해적.,"해적들의 황금시대에서 시작해서 피날레까지 가슴 벅차오르는
120분ㅠ 봐도봐도 질리지않는 해적ㅠ"
54,5,myoun0***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋은 공연 잘 보았습니다,좋은 공연 잘 보았습니다
55,5,whitecha***예매자,2023.06.05,조회 0,"공감 0
공감하기",해적의 황금시대 이야기,내 눈으로 목격한 내 손으로 기록한!
56,5,sakura***예매자,2023.06.05,조회 0,"공감 0
공감하기",해적,"해적의 황금시대이야기
최초의 항해부터 마지막 항해까지 꿈을 꾸는
선원들의 웃음 소리를 먹고 파도 소리 토해내는 바다"
57,5,yang3***예매자,2023.06.05,조회 0,"공감 0
공감하기",해적이야기를 쓰는거야,"어떻게 쓰는거지 이해적들의 항해가 끝나간다니
해적은 울지않는데 눈물이 날거같아요"
58,5,jid***예매자,2023.06.05,조회 0,"공감 0
공감하기",재밌게 봤어요,추천해요
59,5,rkdls0***예매자,2023.06.05,조회 0,"공감 0
공감하기",정연배우 수연배우 진짜 잘해요,"자리 남는게 대신 마음 아플정도로 진짜 너무너무너무 잘하는 페어
7살 쑤이스와 40살 아좟씨 쩡잭 꼬옥 봐주셔야하는데 ..,
왜 안보지 특히 쩡케일럽 못사는 없어야하는데 .."
60,5,shiran***예매자,2023.06.05,조회 0,"공감 0
공감하기",재밌었어요,재밌었어요
61,5,shiran***예매자,2023.06.05,조회 0,"공감 0
공감하기",재밌었어요,재밌었어요
62,5,imjh1***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋아요,좋아요
63,5,shiran***예매자,2023.06.05,조회 0,"공감 0
공감하기",재밌었어요,재밌었어요
64,5,k81***예매자,2023.03.27,조회 386,"공감 5
공감하기",베스트바닷마을에서 자란 내 꿈도 해적이었어,"어릴때 나는 해적을 동경했다. 해적이 되고싶기도 했다. 물론 진짜 해적 말고 소설에나 나오던 멋지고 낭만 가득한 해적ㅋㅋ 바다가 있는 도시에서 살아서였을까, 아니면 지금과 달리 용맹하고 모험심 강하던 어린 내게 해적이 딱 맞아떨어지는 영웅같은 존재였던걸까. 아무튼 난 해적이 좋았다. 그래서 해적이 주인공인 소설을 썼고 개성 넘치는 해적을 그려 살아나게 했다. 그때 내 침대는 해적선이 됐고 노트에 반듯하게 그어진 줄은 파도가 되었으며 내가 쓴 소설의 활자는 멋진 선원이 되어 항해했다. 내가 휘둘렀던건 커다란 해적칼이 아닌 조그만 연필따위였지만 상관없었다. 나는 이미 머리를 땋아 늘어트린 멋진 해적이었으니!

뮤지컬 해적은 그때 내 꿈과 환상을 그대로 옮겨놓았다. 내가 사랑하던 해적 캐릭터들이 모두 등장했다.
전설로 통하는 무시무시한 캡틴 잭과 해적의 자식이자 열정 가득한 신입 선원 루이스, 하늘의 별도 쏘아 그 조각으로 반짝이는 검은 바다를 만들어내는 앤과 포세이돈이라 불리우며 칼 두자루로 소용돌이를 그리는 메리.
마지막 항해를 마친 루이스의 아버지 케일럽은 숨을 거두고 그의 친구 잭이 루이스를 찾아온다. 루이스는 아버지가 남긴 보물섬 지도를 빌미삼아 잭의 해적선에 올라타고 두 사람은 로즈 아일랜드로 떠난다. 그 과정에서 명사수이지만 사생아란 존재로 없는 사람이 되어야 했던 앤과 죽은 오빠 대신 옷을 입고 칼을 든 메리를 만난다.
사실 이야기와 사건은 간단했다. 그럼에도 이 해적들의 이야기는 눈물샘을 자극했다.
잭은 무자비한 캡틴이지만 사실 단 한번도 직접 누군가를 죽여본적 없으며 전투 중 도망쳐 무인도에 버려지기도 했다. 하지만 잭은 선원들을 이끌었고 루이스를 지켰다. 해적은 사랑하면 안 된다면서 그 누구보다 동료들을, 바다를 사랑한 잭은 어릴적 내가 그린 이상적인 바로 그 해적이었다. 어릴때 내가 쓴 소설 속 해적도 사람을 죽이지 않았다. 멋진 쌍칼을 들고 있지만 단 한번도 죽음의 장면은 나오지 않았다. 내게 해적은 누군가를 죽이는 존재도 죽는 존재도 아니었다. 그러니 잭도 죽지 않았으리라 믿고싶다. 다시 한번 대왕거북이의 등을 타고 저 검푸른 바다를 향해 나아갔길. 그만의 무인도에 멋진 해적 세상을 꾸며 루이스를 기다리고 있기를.
루이스는 마치 나같았다. 해적의 황금시대 이야기를 쓰고 항해일지를 썼다. 그리고 해적이 되었다. 아버지를 잃었지만 대신 바다를 얻었고 잭을 만났다. 내가 상상으로 하던 일을 실제로 겪은 루이스의 모험이라니! 관극을 하는 내내 나는 2n살의 성인이 아닌 11살의 어린아이가 된 것 같았다.
자 루이스와 멋진 항해를 떠나자!
모든 이들이 비밀을 털어놓지만 그것을 잘 지켜주는 루이스도 훌륭한 해적이지, 그럼!
사실 나는 고전적인걸 좋아해서(?) 해적도 총보단 칼파였다. 크고 빛나는 칼이야말로 해적의 상징이지 라고 생각했다. 하지만 앤의 아름다운 총성에 마음이 조금 흔들린 것 같다. 스텔라마리스때 앤이 쏜 별이 조각조각 흩어져 검은 바다와 객석까지 뒤덮었을때 주책맞게 왈칵 눈물이 났다. 저 별 조각 하나하나가 누구나 마음에 품고있는 솔직한 꿈, 작은 소망처럼 느껴졌다.
메리의 쌍검은 고전적인 내 심장을 아주 벌렁이게 만들었다. 잭이 내적으로 이상적인 나의 해적이었다면, 메리는 내가 상상했던 해적의 완벽한 외적 이상형이었다. 게다가 짧은 넘버로도 느껴지는 서러운 서사까지..모든 것을 포기하고 죽길 바라던 순간 죽기 직전의 순간 자신과 비슷한 앤을 만나고 사랑에 빠지는 눈빛은 잊혀지지가 않는다.
육지의 세상에서는 지워졌지만, 바다의 한가운데선 그 누구도 모를 수 없는 총잡이와 검투사가 된 앤과 메리. 살기 위해 내던져진 바다에서 오히려 이름과 자유를 찾은 두 여자의 모순이 아름다웠다. 그런 서로를 알아보고 한눈에 사랑에 빠지지만 이별 앞에서 손을 놓지 않고 언제나 꿈속에서 기다릴거라는 절절히 고백까지. 내 마음속 해적의 사랑, 낭만은 이런 것이었다.
어린 잭에게 흔쾌히 은화를 준 하워드와 그런 하워드의 로즈 사파이어빛 죽음을 지켜볼 수 밖에 없었던 잭의 서사도 좋았다. 누군가의 꿈이 되어준 해적이 언젠가 절망이 될 수도 있음을.

해적, 이 낭만적인 이야기의 마지막쯤 대사가 마음 깊이 남는다.
""그리고 그곳에 해적들이 있었다.""
그곳은 어디일까.
망망한 바다, 혹은 어린시절 내 작은 방?
아니 어쩌면 아직도 펄럭이는 졸리로저를 보며 두근대는 내 마음속이 가장 맞는 답일지도 모르겠다."
